ers90,state_fips,state_abbv,states_count,states_abbv,cbsa10,cbsa_name
19700,42,PA,2,NJ; PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
19800,10,DE,2,DE; MD,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
19901,10,DE,2,DE; MD,41540,"Salisbury, MD-DE"
19902,24,MD,1,MD,12580,"Baltimore-Columbia-Towson, MD"
19903,51,VA,1,VA,NA,NA
20001,23,ME,1,ME,12620,"Bangor, ME"
20002,23,ME,1,ME,NA,NA
20003,23,ME,1,ME,NA,NA
20100,23,ME,1,ME,38860,"Portland-South Portland, ME"
20200,50,VT,1,VT,15540,"Burlington-South Burlington, VT"
20301,50,VT,2,NH; VT,13620,"Berlin, NH-VT"
20302,50,VT,2,NH; VT,17200,"Claremont-Lebanon, NH-VT"
20401,44,RI,2,MA; RI,39300,"Providence-Warwick, RI-MA"
20402,25,MA,1,MA,NA,NA
20403,25,MA,1,MA,47240,"Vineyard Haven, MA"
20500,25,MA,1,MA,14460,"Boston-Cambridge-Newton, MA-NH"
20600,33,NH,2,ME; NH,31700,"Manchester-Nashua, NH"
20700,33,NH,2,NH; VT,28300,"Keene, NH"
20800,25,MA,1,MA,44140,"Springfield, MA"
20901,09,CT,1,CT,25540,"Hartford-West Hartford-East Hartford, CT"
20902,25,MA,2,MA; VT,38340,"Pittsfield, MA"
21001,55,WI,1,WI,NA,NA
21002,26,MI,1,MI,26340,"Houghton, MI"
21003,26,MI,2,MI; WI,NA,NA
21004,55,WI,1,WI,NA,NA
21101,55,WI,1,WI,NA,NA
21102,55,WI,1,WI,NA,NA
21201,27,MN,1,MN,26780,"Hutchinson, MN"
21202,27,MN,1,MN,NA,NA
21301,27,MN,1,MN,31860,"Mankato-North Mankato, MN"
21302,27,MN,1,MN,22060,"Faribault-Northfield, MN"
21400,27,MN,1,MN,41060,"St. Cloud, MN"
21501,27,MN,2,MN; WI,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
21502,27,MN,1,MN,NA,NA
21600,27,MN,1,MN,14660,"Brainerd, MN"
21701,27,MN,1,MN,40340,"Rochester, MN"
21702,27,MN,1,MN,12380,"Austin, MN"
21801,19,IA,1,IA,32380,"Mason City, IA"
21802,19,IA,1,IA,NA,NA
21900,19,IA,1,IA,32260,"Marshalltown, IA"
22001,19,IA,1,IA,47940,"Waterloo-Cedar Falls, IA"
22002,19,IA,1,IA,NA,NA
22100,19,IA,1,IA,26980,"Iowa City, IA"
22200,19,IA,1,IA,16300,"Cedar Rapids, IA"
22300,19,IA,1,IA,36900,"Ottumwa, IA"
22400,55,WI,1,WI,43100,"Sheboygan, WI"
22500,55,WI,1,WI,11540,"Appleton, WI"
22601,55,WI,1,WI,24580,"Green Bay, WI"
22602,55,WI,1,WI,43020,"Shawano, WI"
22700,55,WI,1,WI,48140,"Wausau, WI"
22800,55,WI,2,MN; WI,20740,"Eau Claire, WI"
22900,55,WI,2,MN; WI,29100,"La Crosse-Onalaska, WI-MN"
23000,55,WI,1,WI,38420,"Platteville, WI"
23100,55,WI,1,WI,31540,"Madison, WI"
23200,19,IA,2,IL; IA,20220,"Dubuque, IA"
23301,17,IL,1,IL,16660,"Charleston-Mattoon, IL"
23302,17,IL,1,IL,20820,"Effingham, IL"
23400,17,IL,1,IL,14010,"Bloomington, IL"
23500,17,IL,1,IL,16580,"Champaign-Urbana, IL"
23600,19,IA,3,IL; IA; MO,15460,"Burlington, IA-IL"
23700,17,IL,1,IL,23660,"Galesburg, IL"
23801,17,IL,2,IL; IA,19340,"Davenport-Moline-Rock Island, IA-IL"
23802,19,IA,1,IA,17540,"Clinton, IA"
23900,17,IL,1,IL,37900,"Peoria, IL"
24000,55,WI,1,WI,39540,"Racine, WI"
24100,55,WI,1,WI,33340,"Milwaukee-Waukesha-West Allis, WI"
24200,17,IL,1,IL,28100,"Kankakee, IL"
24300,17,IL,1,IL,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
24400,17,IL,1,IL,40420,"Rockford, IL"
24500,29,MO,1,MO,22780,"Fort Leonard Wood, MO"
24600,29,MO,1,MO,22100,"Farmington, MO"
24701,29,MO,2,IL; MO,41180,"St. Louis, MO-IL"
24702,29,MO,1,MO,33020,"Mexico, MO"
24801,17,IL,1,IL,27300,"Jacksonville, IL"
24802,17,IL,1,IL,44100,"Springfield, IL"
24900,17,IL,1,IL,41180,"St. Louis, MO-IL"
25000,17,IL,2,IL; MO,39500,"Quincy, IL-MO"
25101,05,AR,2,MO; AR,34260,"Mountain Home, AR"
25102,29,MO,2,MO; AR,48460,"West Plains, MO"
25103,05,AR,1,AR,25460,"Harrison, AR"
25104,05,AR,1,AR,NA,NA
25105,05,AR,1,AR,12900,"Batesville, AR"
25200,21,KY,1,KY,31580,"Madisonville, KY"
25300,47,TN,2,KY; TN,32460,"Mayfield, KY"
25401,21,KY,2,IL; KY,37140,"Paducah, KY-IL"
